age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
2,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,unknown,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,basic.9y,no,yes,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,married,basic.6y,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,divorced,university.degree,no,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,unknown,married,unknown,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,1
3,technician,married,university.degree,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,unknown,yes,no,telephone,may,mon,4.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,married,unknown,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,high.school,unknown,no,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,1
2,technician,single,university.degree,no,no,yes,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,admin.,divorced,high.school,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,married,basic.6y,no,no,no,telephone,may,mon,4.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,no,yes,yes,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,married,basic.9y,no,no,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,1
2,admin.,married,high.school,no,yes,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,no,yes,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,unknown,married,unknown,unknown,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,unknown,unknown,no,yes,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,unemployed,married,basic.9y,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,professional.course,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,married,university.degree,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,single,professional.course,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,services,married,unknown,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,1.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,services,married,unknown,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,divorced,university.degree,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,divorced,university.degree,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,single,high.school,unknown,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,high.school,no,yes,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,unknown,unknown,yes,yes,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,5.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,divorced,high.school,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,married,university.degree,no,no,no,telephone,may,mon,4.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,high.school,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,divorced,university.degree,no,no,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,unknown,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,no,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,high.school,no,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,admin.,married,university.degree,no,yes,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,no,no,yes,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,basic.6y,no,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,retired,married,basic.4y,no,yes,no,telephone,may,mon,1.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,professional.course,unknown,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,1
2,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,professional.course,unknown,no,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,unknown,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,married,university.degree,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,divorced,university.degree,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,1.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,no,yes,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,1
2,unemployed,single,university.degree,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,married,unknown,no,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,married,university.degree,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,single,high.school,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,divorced,high.school,unknown,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,single,professional.course,no,yes,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,services,married,high.school,no,no,no,telephone,may,mon,4.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,management,single,university.degree,no,yes,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,4.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,divorced,high.school,unknown,no,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,no,yes,yes,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,unknown,no,no,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,divorced,university.degree,no,yes,no,telephone,may,mon,5.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,unknown,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,university.degree,no,yes,yes,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,single,university.degree,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,no,no,no,telephone,may,mon,1.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,married,basic.9y,no,no,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,no,yes,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,single,basic.6y,no,no,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,services,married,high.school,no,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,high.school,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,5.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,1
2,admin.,married,university.degree,no,yes,no,telephone,may,mon,3.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,married,university.degree,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,married,basic.6y,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,retired,married,high.school,unknown,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,no,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,professional.course,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,2.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
